SYMBOL,Time,OMDSEQ,ASK_SIZE,ASK_PRICE,BID_SIZE,BID_PRICE
AA,2015-01-03 09:34:31.124650,0,3,23.9,11,23.76
AA,2015-01-03 09:34:31.124805,1,3,23.9,3,23.77
AA,2015-01-03 09:34:31.125288,0,3,23.9,3,23.78
AA,2015-01-03 09:34:31.125617,1,1,25.0,1,22.74
AA,2015-01-03 09:34:32.913928,0,3,23.91,3,23.78
AA,2015-01-03 09:35:13.165144,0,3,23.91,6,23.78
AA,2015-01-03 09:35:13.165234,1,3,23.91,3,23.79
AA,2015-01-03 09:35:16.391225,0,1,25.0,5,23.79
AA,2015-01-03 09:35:16.391243,1,5,23.91,5,23.79
AA,2015-01-03 09:35:16.391296,2,3,23.91,8,23.79
AA,2015-01-03 09:35:16.391319,3,8,23.91,8,23.79
AA,2015-01-03 09:35:16.413304,0,1,25.0,5,23.79
AA,2015-01-03 09:35:16.413331,1,1,25.0,1,22.74
AA,2015-01-03 09:35:16.413436,2,3,23.91,8,23.79
AA,2015-01-03 09:35:16.413458,3,3,23.91,3,23.79
AA,2015-01-03 09:35:16.473169,0,1,25.0,5,23.79
AA,2015-01-03 09:35:16.473193,1,5,23.91,5,23.79
AA,2015-01-03 09:35:16.473291,2,3,23.91,8,23.79
AA,2015-01-03 09:35:16.473314,3,8,23.91,8,23.79
AA,2015-01-03 09:35:16.855842,0,1,25.0,5,23.79
AA,2015-01-03 09:35:16.855874,1,1,25.0,1,22.74
AA,2015-01-03 09:35:16.855974,2,3,23.91,8,23.79
AA,2015-01-03 09:35:16.856003,0,3,23.91,3,23.79
AA,2015-01-03 09:35:16.861011,0,1,25.0,5,23.79
AA,2015-01-03 09:35:16.861039,1,5,23.91,5,23.79
AA,2015-01-03 09:35:16.861129,2,3,23.91,8,23.79
AA,2015-01-03 09:35:16.861152,3,8,23.91,8,23.79
AA,2015-01-03 09:35:17.073379,0,5,23.91,1,22.74
AA,2015-01-03 09:35:17.073391,1,1,25.0,1,22.74
AA,2015-01-03 09:35:17.073438,2,3,23.91,8,23.79
AA,2015-01-03 09:35:17.073467,3,3,23.91,3,23.79
AA,2015-01-03 09:35:17.173788,0,1,25.0,5,23.79
AA,2015-01-03 09:35:17.173818,1,5,23.91,5,23.79
AA,2015-01-03 09:35:17.173902,2,3,23.91,8,23.79
AA,2015-01-03 09:35:17.173930,3,8,23.91,8,23.79
AA,2015-01-03 09:35:17.929768,0,1,25.0,5,23.79
AA,2015-01-03 09:35:17.929794,1,1,25.0,1,22.74
AA,2015-01-03 09:35:17.929877,2,3,23.91,8,23.79
AA,2015-01-03 09:35:17.929905,3,3,23.91,3,23.79
AA,2015-01-03 09:35:17.936084,0,1,25.0,5,23.79
AA,2015-01-03 09:35:17.936109,1,5,23.91,5,23.79
AA,2015-01-03 09:35:17.936201,2,3,23.91,8,23.79
AA,2015-01-03 09:35:17.936238,3,8,23.91,8,23.79
AA,2015-01-03 09:35:27.127945,0,1,25.0,5,23.79
AA,2015-01-03 09:35:27.127971,1,1,25.0,1,22.74
AA,2015-01-03 09:35:27.128024,0,3,23.91,8,23.79
AA,2015-01-03 09:35:27.128054,1,3,23.91,3,23.79
AA,2015-01-03 09:35:27.184321,0,1,25.0,5,23.79
AA,2015-01-03 09:35:27.184356,1,5,23.91,5,23.79
AA,2015-01-03 09:35:27.184755,2,3,23.91,8,23.79
AA,2015-01-03 09:35:27.184779,3,8,23.91,8,23.79
AA,2015-01-03 09:35:29.895766,0,1,25.0,5,23.79
AA,2015-01-03 09:35:29.895793,1,1,25.0,1,22.74
AA,2015-01-03 09:35:29.895808,2,3,23.91,8,23.79
AA,2015-01-03 09:35:29.895825,3,3,23.91,3,23.79
AA,2015-01-03 09:35:29.922694,0,1,25.0,5,23.79
AA,2015-01-03 09:35:29.922721,1,5,23.91,5,23.79
AA,2015-01-03 09:35:29.922763,2,3,23.91,8,23.79
AA,2015-01-03 09:35:29.922791,3,8,23.91,8,23.79
AA,2015-01-03 09:35:30.392870,0,1,25.0,5,23.79
AA,2015-01-03 09:35:30.392894,1,1,25.0,1,22.74
AA,2015-01-03 09:35:30.393044,0,3,23.91,8,23.79
AA,2015-01-03 09:35:30.393069,1,3,23.91,3,23.79
AA,2015-01-03 09:35:30.393968,2,1,25.0,5,23.79
AA,2015-01-03 09:35:30.394010,0,5,23.91,5,23.79
AA,2015-01-03 09:35:30.394070,1,3,23.91,8,23.79
